|departure_city|col_index|language|flight_date|airline|customer_review_original_language
0|London|0|english|2022-07-25 01:09:42.953034977|AlphaAirlines|London to Izmir via Istanbul. First time I'd flown TK. I found them very good in the air, cabin crew, planes, food, all very nice. Not so great on the ground, ground staff, call centre, computer systems. My flight from LHR was delayed so I missed the connection in Istanbul. Most ground staff don't speak English, and I was given contradictory instructions from those that could speak a little English. I eventually got on a flight to Izmir three hours later, but it wasn't an easy process, made worse by the vast distances one has to walk between gates in the cavernous new airport. Also, I'd phoned a TK call centre (based in Ukraine) to pay an extra Â£40 or so each way for extra leg room seats. However, as the departure times kept changing, my seats kept changing, and for the return leg to London from Istanbul I was not given an extra leg room seat. Luckily there was a spare exit row seat and the cabin crew sorted me out. Overall, I think their cabin crew and planes are very good, ground staff and call centre staff need better training and they all need better computer systems and software to work with.
1|Istanbul|1|turc|2022-07-25 01:09:42.953034977|TurkishFly|İstanbul'dan Bükreş'e. Havaalanında check-in yapıyoruz, valizlerimizi alıyorlar, kapıya gidiyoruz ve kapıda sürpriz bir şekilde iki çocukla uçağa binmemize izin vermiyorlar, çünkü uçuşta doluluk var diyorlar. İki çocuğumuzla sabah 5'e kadar bizi havaalanına 2 saat uzaklıktaki bir otele valizsiz, yemeksiz, hiçbir şey yemeden getirene kadar havaalanında beklemek zorunda kaldık. Bu havayolu ile ilk ve son uçuşumuz.
2|Rome|2|italian|2022-07-25 01:09:42.953034977|Italines|"Da Roma a Prishtina via Istanbul. Ho volato con questa compagnia diverse volte negli ultimi anni e posso onestamente dire che sta peggiorando sempre di più. Ho volato da Roma a Prishtina via Istanbul, tutti e 4 i voli hanno avuto un ritardo (che a quanto pare è abbastanza normale con Turkish). Il personale di terra è per la maggior parte inutile. A Istambul ho provato a chiedere alcune informazioni su un ritardo del volo (avevo solo 30 minuti prima del volo in coincidenza) e l'intera risposta è stata: ""Rilassati signore, nessun problema signore, va bene"". Il nuovo aeroporto è un casino gigantesco, molto grande e disorganizzato. Quando atterri a Istanbul ci vogliono dai 20 ai 25 minuti di rullaggio e altri 10 minuti prima che inizino effettivamente a sbarcare, è un'esperienza estenuante soprattutto se sei di fretta. Dimenticate di chiedere qualche indicazione al nuovo aeroporto, tutti chiacchierano tra loro, alcuni con un caffè in mano. Ho volato con quattro aerei diversi in questo viaggio, due erano abbastanza nuovi, gli altri due erano vecchi, i sedili consumati. Il cibo a bordo era di pessima qualità..., lasciatemelo ripetere, pessima qualità. In generale posso dire che l'equipaggio è adeguatamente addestrato e offre una buona esperienza o almeno ci prova, ovviamente è lontana dall'esperienza che si ottiene volando in Qatar o Emirates ma comunque abbastanza buona, mentre il personale di terra, specialmente a Istanbul, è la personificazione della parola pigro. Un completo disastro. Cercherò di evitare Turkish Airlines in futuro, non è una compagnia economica e sicuramente non vale i soldi che paghi. Se sei di fretta o sai che eviterai questa compagnia ed eviterai il nuovo aeroporto di Istanbul a tutti i costi."
3|Mumbai|3|indian|2022-07-25 01:09:42.953034977|IndiaFly|इस्तांबुल के रास्ते मुंबई से डबलिन तक। यदि आप मुंबई से डबलिन की यात्रा कर रहे हैं तो कभी भी तुर्की एयरलाइंस बुक न करें। अगर मुंबई से फ्लाइट लेट हो जाती है तो उनके पास आपके लिए कोई दूसरा विकल्प नहीं है। वे सीधे आपसे इस्तांबुल में होटल में रुकने के लिए कहेंगे। उन्हें आपके समय के नुकसान की कोई परवाह नहीं है. समय रहते एयरलाइंस क्रू की ओर से कोई निर्णय नहीं लिया गया। उन्होंने मुझे 3 घंटे से ज्यादा इंतजार कराया.
4|Istanbul|4|turc|2022-07-25 01:09:42.953034977|TurkishFly|Türk Hava Yolları ile Dublin üzerinden İstanbul'dan Budapeşte'ye. Yolculuğun her iki ayağı için her uçuşta gecikmeler - yaklaşık 20 saat boyunca kaba, yavaş veya yardımcı olmayan ve çantalarımızı almak için bir saat süren yer personeli ile İstanbul'da mahsur kaldık. Söyleyebileceğim tek olumlu şey, uçaktaki yiyeceklerin iyi olması, diğer her şeyin felaket olması.
5|Istanbul|5|turc|2022-07-25 01:09:42.953034977|TurkishFly|İstanbul'dan Cezayir'e, aynı gece 21:30'da kalkışı ve 23:20'de Cezayir'e varması planlanıyor. Teknik bir sorun nedeniyle uçuşun 2:55 saat rötar yaptığına dair bir duyuru aldık. Sonra gece yarısı uçağa bindikten ve taksi yapmaya başladıktan sonra pilot sorunun hala devam ettiğini ve kapıya geri dönmemiz gerektiğini duyurdu! Bir erteleme daha açıklandı! Üstelik yolcuların uçaktan inmesine de izin vermediler! tam bir kaos çünkü yolcular artık bu uçağa binmek istemiyor (ve tamamen anlıyorum) ve durumu daha da kötüleştiren şey, ne pilotun ne de herhangi bir yetkilinin bize neler olduğunu anlatması. Açıklama yok, özür yok, hiçbir şey yok! polisi aradılar ve kapıda silahlı sivil adamlar gördük. Sabah 6:30'a kadar havalanmadık (toplamda 9 saatten fazla gecikme!) Bu gecikme nedeniyle, ortaya çıkan rahatsızlık ve yorgunluk nedeniyle 15 Nisan'da Cezayir'deki tüm çalışma günüm (danışmanım) kaybettim. ve o gün için birkaç toplantı planlamıştım). Bir daha asla Türk Hava Yolları'na binmeyeceğim.
6|Abu Dhabi|6|arabic|2022-07-25 01:09:42.953034977|EmiratesFly|من أبو ظبي إلى لوكسمبورغ عبر اسطنبول. من AUH-IST ، حيث كانت الرحلة في الساعة 1:30 صباحًا ، كانت الرحلة مريحة نظرًا لصغر حجم الطائرة. كانت المقاعد ضيقة بالرغم من أن غرفة الأرجل كانت جيدة. بدأت الخدمة في منتصف الطريق وكان الطعام جيدًا ولكن لا يوجد شيء رائع. كان الموظفون في الغالب ودودين. كان موظفو IST-LUX أكثر ودية ، وكانت الطائرات أفضل قليلاً ، وكان الطعام من نفس المستوى على الرغم من ذلك. أعتقد أنها كانت تجربة لائقة بشكل عام ، لكنني أفضل طائرة جوية أكثر اتساعًا حتى لو كانت الرحلة على بعد 4.5 ساعة من AUH.
7|New York|7|english|2022-07-25 01:09:42.953034977|AlphaAirlines|"New York to Erbil via Istanbul. They have the worst customer service. My initial leg was delayed due to weather so I was going to miss my connection. Turkish Airlines did nothing to help - in fact finding someone with Turkish Airlines to assist is a feat in itself. TA kept passing the blame. Bottom line - if any segment of your Turkish Airlines flights causes a delay then you are SOL when it comes to TA. Plan on spending a lot more money and flying another airline because Turkish Airlines will not assist you and they will keep your money. The ""customer service"" is a joke - they read from scripts and keep repeating the same paragraph - almost like robots. They also tell you to send an email - it is just a stalling tactic."
8|Tehran|8|arabic|2022-07-25 01:09:42.953034977|EmiratesFly|من طهران إلى نيويورك عبر اسطنبول. تجربة رهيبة وخدمة عملاء رهيبة! لن تطير مرة أخرى. حاولت تغيير تاريخ رحلتي ، اتصلت بشركة الطيران وقاموا بإجراء التغييرات. أخبرني أنني سأتلقى رسالة تأكيد عبر البريد الإلكتروني بعد إنهاء المكالمة (لم أستلمها أبدًا). اتصلت مرة أخرى ، وقدمت طلبي مرة أخرى وقيل لي أن شخصًا ما سيعود إليّ في غضون 7 أيام على الأكثر (لم يحدث أبدًا مرة أخرى). اتصلت مرة أخرى (كان هذا 3 أيام من تاريخ الرحلة الفعلي) ، قيل لي أنني بحاجة للذهاب إلى مكتب شركة طيران لإجراء تغيير !. أقرب مكتب لي يبعد 250 ميلاً. أيضًا ، كان هناك تغيير في الجدول الزمني على التذكرة لم أقم بتأكيده. عندما اتصلت ، قيل لي إنني لن أتحمل الغرامة ، وانتهى بي الأمر بتحصيل رسوم + فرق الأجرة (حوالي 500 دولار). بالإضافة إلى تكلفة الرحلة (200 دولار) لرحلة ذهاب فقط. لذلك لم يحدث هذا من قبل مع أي شركة طيران أخرى. كان من الأسهل إلغاء وشراء رحلة جديدة كانت ستكلفني حوالي 800 دولار في اتجاهين.
9|Belgrade|9|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Belgrade to Athens via Istanbul. My first flight departed with delay from Belgrade due to local weather conditions in Istanbul. I requested for a connection assistance in order to catch my second flight but the airline did not provide me such assistance. I managed to arrive at the gate of departure of my second flight while boarding was not completed and while the screen mentioned 'last call' but I was denied boarding because 'the system had unchecked me from the second flight due to late arrival of my previous plane'. People were boarding in front of my eyes on the plane. The Turkish Airlines officer deceivingly told me to go to another gate (215) because another plane was waiting for me. He just got rid of me. Gate 215 was near the rebooking office of Turkish Airlines for the issuance of new tickets. Although I was condemned to stay overnight at the airport, I was not proposed hotel accommodation or a meal. I was put on another flight departing next morning without even offered the possibility to select my checked seat (the officer rejected my request for an aisle position despite the fact that the plane was half-empty!). I filled a complaint form for denial of boarding and they replied that they are not responsible for a flight delay due to weather conditions. Turkish Airlines maybe is a large company but it manages these type of routine problems poorly as a low budget airline.
10|Dublin|10|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Dublin to Tel Aviv via Ä°stanbul. First of all our flight was delayed for over an hour, but that's fine we crossed that bridge, then when we arrived in Ä°stanbul airport we were told that we missed our connection flight. Ridiculous considering the fact the tickets were bought from Turkish Airlines and not from different companies, ok, 10 minutes of talking to customer service and we got new tickets from Ä°stanbul to Tel Aviv (not same comfortable plane as it supposed to be but still something) Arriving in Tel Aviv we found our 3 bags on the belt but so called oversized bag (which was actually a doll birthday box for my daughter) was missing almost 2 hours waiting for it to be found (no luck) then another half an hour of registering with lost&found made us exhausted (myself my husband and 2 kids aged 3 and 5 at 5am in the morning is no fun at all) We supposed to pick up our rental car in between 3-4am and when we came to get it apparently the car was gone to another customer because we were late. We had no choice but get another more expensive car that was available (I think Turkish airlines should be liable for that as well) We registered lost baggage gave the address and phone number in Petah and asked them to deliver it there as we were going to Eilat for a few days. I was pretty much confident that should be no problem with contact details. I was 5 days later arriving back to Tel Aviv and with no contact from lost&found I rang them to see what's the story and I was shocked when I heard that my baggage was delivered to me the following day! Where? When? To who? The answer was simple we have in our system that you baggage left to Eilat next day and was delivered to the hotel so we are really sorry but you have to get it yourself from there! How come they left my baggage in the hotel without notifying me? Answer was: Delivery company rang you but there was no answer. Left a message? I doubt it I think it's pure lies) Anyway I said I want my baggage back please get it to me! Oh you know it might take couple of days. Fine I said just get it please! Few days later I rang again because nothing came and find out that delivery man came to the hotel in Eilat asked for me but because me and my spouse have different surnames he was told that there's no such person registered (but then the question is how could he leave it there if he was told the person is not there) Again I was promised that few days later I will get it. As you can imagine I didn't. Rang again today asked for the manager (was told the manager is in holiday) got to speak to supervisor and what a surprise she said that the baggage is not in the hotel in Eilat but in airport Eilat and because it's holiday (Pesah) the airport is closed and they can't get it. And she said you know it's your fault that it went to Eilat. When I asked her name she refused to give and hanged up on me.
11|Tashkent|11|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Tashkent to Istanbul. A poor experience with Turkish Airlines. The guy who seemed to be the cabin chief was acting in a very extremely rude way towards the passengers, almost yelling at them, mostly hurrying people to sit down quickly. Very unprofessional. The tightest space for seating I experienced, apart from a low cost carrier in Indonesia. A mess with luggage, clearly too many volumes allowed onboard.
12|Istanbul|12|turc|2022-07-25 01:09:42.953034977|TurkishFly|İstanbul'dan Prag'a. Mürettebat çok kibardı. Geniş koltuklar, iyi eğlence ve güvenlik videosunu beğendim. Sabah uçuşum vardı, bu yüzden kahvaltı yaptılar. Yemekler yerinde ve lezzetliydi. Tek kötü not, ikinci turda soğuk içecek servisi yapmamaları.
